Restaurant,Mon,Tue,Wed,Thu,Fri,Sat,Sun
Altitude Restaurant - Hyatt Regency Denver,"[[795, 1440]]","[[0, 75], [1035, 1440]]","[[0, 120], [1005, 1245]]","[[570, 1305]]","[[780, 1440]]","[[0, 135]]","[[465, 900]]"
Palm Restaurant - Denver,"[[540, 1440]]","[[0, 120]]","[[705, 720]]","[[375, 810]]","[[540, 1440]]","[[0, 120], [375, 810]]","[[465, 495]]"
Canyon Chop House,"[[675, 1095]]",[],"[[630, 1410]]",[],"[[555, 1230]]","[[570, 1050]]","[[555, 1230]]"
BRASSERIE TEN TEN,"[[360, 690]]","[[435, 1440]]","[[0, 195], [555, 1290]]","[[825, 1440]]","[[0, 135], [570, 1260]]","[[825, 1440]]","[[0, 135]]"
Plato's Restaurant,"[[510, 765], [0, 765]]","[[375, 1155]]","[[510, 765]]",[],"[[780, 1110]]","[[510, 765]]","[[870, 1440]]"
Maggiano's - Denver South,[],"[[990, 1110]]","[[855, 1005]]",[],"[[690, 855]]","[[525, 1275]]","[[345, 420]]"
Left Bank Restaurant,"[[975, 1395]]","[[1020, 1440]]","[[975, 1395], [0, 210]]",[],"[[300, 420]]","[[975, 1440]]","[[0, 60], [375, 600]]"
Second Home Kitchen & Bar,"[[660, 1440]]","[[0, 60], [555, 870]]","[[840, 1440]]","[[0, 150], [540, 1440]]","[[0, 105], [930, 1440]]","[[660, 1440], [0, 90]]","[[0, 60], [1005, 1080]]"
Sullivan's Steakhouse - Denver,"[[735, 900], [0, 90]]","[[375, 960]]","[[735, 900]]",[],"[[975, 1440]]","[[0, 720], [840, 1110]]","[[1005, 1440]]"
Locanda Del Borgo,"[[660, 1440]]","[[0, 105], [495, 1440]]","[[0, 120], [645, 1440]]","[[0, 105]]","[[885, 945]]","[[420, 1305]]","[[735, 1380]]"
Ajax Tavern,[],"[[660, 1200]]","[[555, 690]]","[[660, 1005]]","[[375, 1170]]","[[570, 1380]]","[[660, 1005]]"
Vines Wine Bar,"[[840, 1365]]","[[540, 840]]","[[840, 1365]]","[[540, 840]]","[[810, 1440]]","[[0, 765], [555, 930]]","[[855, 1365]]"
Flagstaff House,[],"[[390, 510]]","[[435, 1440]]","[[0, 90], [360, 1230]]","[[690, 1155]]","[[585, 735]]","[[480, 1095]]"
Cucina Colore,"[[840, 1335]]","[[1005, 1440]]","[[0, 150], [885, 1080]]","[[930, 1110]]","[[735, 1125]]","[[810, 1140]]","[[930, 1110]]"
Restaurant Fourteen Seventy Two,"[[840, 1440]]","[[0, 195], [885, 1035]]",[],"[[570, 960]]","[[945, 1440]]","[[0, 210], [375, 1080]]","[[900, 1155]]"
Black Cat,[],"[[525, 1425]]","[[1020, 1440]]","[[0, 90], [780, 1080]]","[[1020, 1440]]","[[0, 90]]","[[705, 900]]"
Max Gill and Grill,"[[750, 1440]]","[[0, 210], [735, 1065]]","[[750, 1440]]","[[0, 210], [735, 1065]]","[[750, 1410]]","[[1005, 1155]]",[]
The Summit Steakhouse,"[[945, 1125]]",[],"[[780, 1365]]","[[300, 840]]","[[975, 1440]]","[[0, 210], [405, 750]]","[[465, 630]]"
Brexi,[],"[[405, 810]]",[],"[[960, 1185]]","[[300, 840]]","[[465, 1170]]",[]
North - Denver,"[[1005, 1440]]","[[0, 225]]","[[450, 1380]]","[[300, 720]]","[[345, 1365]]",[],"[[300, 840]]"
Ya Ya's Euro Bistro,[],[],"[[615, 1440]]","[[0, 180], [795, 1305]]","[[420, 1410]]","[[510, 675]]","[[600, 720]]"
La Tour,"[[720, 810]]","[[405, 1440]]","[[0, 210], [960, 1350]]","[[585, 1410]]","[[645, 735]]","[[330, 555]]","[[375, 720]]"
Vista at Arrowhead,"[[510, 630]]","[[1035, 1440]]","[[510, 630], [0, 750]]","[[1035, 1440]]","[[0, 750], [330, 1005]]","[[870, 1185]]","[[330, 1005]]"
Gabriel's Restaurant,"[[300, 1125]]","[[390, 615]]","[[1020, 1440]]","[[300, 1125], [0, 90]]","[[1005, 1215]]",[],"[[750, 1395]]"
Venice Ristorante & Wine Bar,"[[765, 1440]]","[[0, 150], [615, 750]]","[[1005, 1050]]","[[465, 480]]","[[765, 1440]]","[[0, 150], [1020, 1440]]","[[0, 60], [750, 765]]"
Comida - Longmont,"[[1005, 1440]]","[[0, 225], [330, 1350]]","[[360, 1440]]","[[0, 60], [435, 525]]","[[585, 1230]]","[[435, 525]]","[[960, 1350]]"
Luca,"[[1065, 1440], [0, 60]]","[[0, 75], [405, 1305]]","[[750, 1440]]","[[1065, 1440], [0, 60]]","[[0, 75]]","[[750, 1440]]","[[750, 1440], [0, 165]]"
Glaze by Sasa,"[[975, 1395], [0, 60]]","[[360, 795]]","[[945, 1440]]","[[0, 720], [960, 1440]]","[[0, 180], [585, 765]]","[[360, 795]]","[[870, 1440]]"
Tamayo Restaurant,"[[960, 1410]]","[[1005, 1335]]",[],"[[750, 1215]]","[[840, 1350]]","[[465, 570]]","[[840, 1350]]"
Ambli Gourmet Eatery & Wine,[],"[[465, 705]]","[[1005, 1440]]","[[0, 195], [915, 1065]]","[[465, 705]]","[[1005, 1440]]","[[0, 195], [600, 720]]"
Meritage at the Omni Interlocken Resort,"[[645, 990]]","[[495, 1440]]","[[0, 165], [720, 1425]]","[[795, 1005]]",[],"[[855, 1155]]","[[300, 420]]"
Ellyngton's at the Brown Palace,"[[1050, 1440]]","[[0, 720], [840, 1260]]","[[930, 1440]]","[[840, 1260], [0, 165]]","[[765, 855]]","[[840, 1260]]","[[930, 1380]]"
Vail Chophouse,"[[825, 1410], [0, 720]]",[],"[[1005, 1080]]","[[840, 900]]","[[300, 720]]","[[1005, 1080]]","[[870, 1440]]"
Briarhurst Manor,"[[660, 795], [0, 150]]","[[480, 900]]","[[660, 795]]","[[945, 1275]]","[[390, 1425]]","[[300, 660]]","[[345, 1440]]"
The Village Table,"[[975, 1440]]","[[0, 135]]","[[525, 960]]","[[855, 1440]]","[[525, 960], [0, 120]]","[[855, 1440]]","[[0, 120]]"
Honga's Lotus Petal,[],"[[315, 750]]","[[570, 1440]]","[[315, 750], [0, 60]]","[[720, 1440]]","[[0, 225], [300, 1155]]","[[330, 555]]"
The Front,"[[0, 765]]","[[375, 480]]",[],[],"[[870, 1440]]","[[375, 480], [0, 765]]","[[870, 1440]]"
Juniper Restaurant,"[[705, 1245], [0, 150]]","[[825, 1035]]","[[870, 1050]]","[[990, 1380]]","[[705, 1245]]","[[585, 600]]","[[990, 1440]]"
Gashouse Restaurant,"[[540, 885], [0, 165]]","[[735, 915]]","[[1005, 1440]]","[[0, 60], [990, 1110]]","[[735, 915]]","[[315, 465]]","[[645, 1440]]"
Spago - Bachelor Gulch,"[[0, 765]]","[[780, 885]]",[],"[[960, 1185]]","[[465, 870]]","[[900, 1320]]","[[1050, 1440]]"
Chimney Park,"[[990, 1440]]","[[0, 720], [390, 1155]]","[[675, 1440]]","[[0, 195], [450, 735]]","[[465, 735]]","[[900, 1020]]","[[1005, 1095]]"
Keys on the Green,[],"[[510, 885]]","[[780, 1095]]","[[765, 1440]]","[[510, 885], [0, 735]]","[[990, 1215]]","[[780, 1095]]"
McCormick's Fish House - Denver,"[[840, 1440]]","[[0, 120], [360, 900]]","[[645, 780]]","[[795, 1440]]","[[840, 1440], [0, 165]]","[[0, 120], [630, 1440]]","[[0, 120], [345, 480]]"
Mizuna,"[[690, 1335]]","[[825, 885]]",[],"[[720, 1080]]","[[765, 1425]]","[[825, 990]]","[[825, 1380]]"
La Fondue,[],"[[330, 1080]]","[[1050, 1410]]","[[1035, 1425]]","[[975, 1215]]","[[1035, 1425]]",[]
Modis,"[[675, 1020]]","[[360, 1440]]","[[0, 105]]","[[720, 1260]]",[],"[[1020, 1440]]","[[0, 165], [360, 645]]"
Citron Bistro,"[[780, 1440]]","[[0, 750], [435, 750]]","[[435, 1080]]","[[855, 1050]]","[[780, 1440]]","[[0, 750], [825, 1245]]","[[1065, 1365]]"
Harwigs,"[[0, 105]]","[[435, 1230]]","[[900, 1170]]","[[330, 1440]]","[[0, 210]]","[[675, 840]]","[[855, 1440]]"
Sugarbeet,"[[975, 1440]]","[[0, 720], [690, 915]]","[[570, 765]]","[[675, 1065]]","[[570, 1065]]","[[570, 765]]","[[360, 525]]"
Prime Steakhouse,"[[570, 855]]","[[915, 1305]]","[[630, 1425]]","[[660, 1335]]","[[990, 1440]]","[[0, 225], [975, 1215]]","[[660, 1230]]"
The Blue Star,"[[360, 1335], [0, 180]]","[[765, 960]]","[[810, 870]]","[[765, 960]]","[[810, 870]]","[[780, 960]]","[[810, 1440]]"
The Corner Office Restaurant and Martini Bar Denver,"[[750, 1440]]","[[0, 735], [660, 1215]]","[[1035, 1425]]",[],"[[1035, 1425]]",[],"[[855, 1305]]"
Maggiano's - Denver Pavilions,"[[330, 690]]",[],"[[1005, 1080]]",[],"[[840, 975]]","[[960, 1440]]","[[1005, 1080], [0, 720]]"
Cafe Prague,"[[675, 1380]]","[[1020, 1440]]","[[0, 180], [675, 1440]]","[[0, 90], [465, 1350]]","[[675, 1380]]","[[735, 1155]]","[[450, 1140]]"
La Marmotte,"[[780, 1440], [0, 105]]","[[0, 120], [765, 1440]]","[[0, 120], [330, 540]]","[[810, 1440]]","[[330, 540], [0, 105]]","[[780, 1440]]","[[0, 120], [435, 1440]]"
Cafe Aion,"[[0, 75]]",[],[],"[[825, 1440]]","[[0, 750], [960, 1305]]","[[915, 1440]]","[[0, 150], [1050, 1440]]"
The Metropolitan Grill,"[[315, 1035]]",[],"[[300, 360]]","[[885, 1440]]","[[0, 150]]","[[375, 600]]","[[900, 1125]]"
iFish Japanese Grill & Sushi Bar,"[[330, 750], [0, 120]]","[[315, 1440]]","[[0, 60], [855, 1170]]","[[765, 1080]]","[[1035, 1440]]","[[330, 750], [0, 120]]","[[1035, 1440]]"
Lancelot Restaurant,"[[735, 1395], [0, 210]]","[[465, 1440]]","[[0, 135], [690, 915]]","[[615, 1440]]","[[690, 915], [0, 165]]",[],"[[855, 1440]]"
L'ATELIER - Boulder,[],"[[540, 1110]]","[[855, 1275]]","[[750, 1440]]","[[0, 135], [720, 960]]","[[750, 1440]]","[[0, 135], [885, 1170]]"
Trecento Quindici Decano,[],"[[480, 885]]",[],"[[555, 645]]","[[930, 1440]]","[[555, 645], [0, 75]]","[[720, 1365]]"
Vesta Dipping Grill,"[[945, 1005]]","[[660, 885]]","[[945, 1005]]","[[360, 540]]","[[975, 1440]]","[[0, 60], [930, 1425]]","[[330, 1365]]"
Maxwell's Steakhouse,"[[0, 135]]","[[810, 1005]]","[[405, 1140]]","[[810, 1005]]","[[540, 1215]]","[[750, 1425]]","[[600, 1440]]"
Trapper's Chop House,"[[930, 1125], [0, 150]]","[[570, 1320]]","[[435, 1005]]","[[345, 465]]",[],"[[615, 1440]]","[[0, 165], [405, 1440]]"
Il Posto,"[[825, 1140]]","[[315, 705]]","[[660, 1335]]","[[900, 1440]]","[[0, 720], [1005, 1125]]","[[1020, 1275]]","[[480, 1065]]"
Russell's,[],[],"[[810, 1125]]","[[585, 1440]]","[[0, 150], [525, 1380]]","[[330, 1110]]","[[915, 1410]]"
La Bottega - Vail,"[[630, 1215]]","[[600, 690]]","[[735, 1080]]","[[600, 690]]",[],"[[1005, 1275]]","[[825, 1425]]"
Guard & Grace,"[[630, 1080]]","[[570, 765]]","[[630, 1080]]","[[750, 1125]]","[[585, 1440]]","[[0, 150], [900, 1440]]","[[0, 750], [420, 720]]"
Punch Bowl Social Denver,[],"[[855, 975]]","[[1005, 1290]]","[[330, 1395]]","[[885, 1440]]","[[1005, 1290], [0, 75]]","[[825, 1305]]"
The Kitchen - Fort Collins,"[[0, 750]]","[[975, 1440]]","[[0, 60], [750, 1440]]","[[975, 1440], [0, 60]]","[[0, 60], [975, 1335]]","[[360, 1140]]","[[870, 1440]]"
Afternoon Tea at the Brown Palace,[],"[[915, 1440]]","[[0, 750], [975, 1320]]","[[825, 1440]]","[[975, 1320], [0, 90]]","[[795, 1230]]","[[630, 720]]"
Campo de Fiori - Vail,"[[0, 105]]","[[315, 1440]]","[[0, 135], [630, 1440]]","[[0, 180], [690, 1290]]","[[630, 1440]]","[[0, 180], [525, 1125]]","[[855, 1440]]"
Rialto Cafe,"[[825, 1080]]","[[990, 1440]]","[[825, 1080], [0, 210]]","[[720, 1350]]",[],"[[975, 1230]]","[[375, 1305]]"
Leonora,[],"[[630, 750]]","[[990, 1290]]","[[630, 750]]","[[990, 1440]]","[[0, 210], [375, 1365]]","[[480, 750]]"
Palace Arms at the Brown Palace,"[[420, 1440]]","[[0, 135], [405, 735]]","[[945, 1365]]","[[420, 1440]]","[[0, 135], [330, 750]]","[[420, 1440]]","[[0, 135], [330, 750]]"
Zengo,"[[660, 1440], [0, 720]]","[[0, 150]]","[[960, 1425]]","[[720, 960]]","[[780, 1335]]","[[960, 1425]]","[[960, 1440]]"
La Bella Vita,[],"[[720, 1155]]","[[330, 1260]]","[[315, 585]]","[[600, 1200]]","[[330, 1260]]","[[600, 1200]]"
Vin48 Restaurant Wine Bar,"[[525, 1230]]","[[405, 1125]]","[[1050, 1440]]","[[525, 1230], [0, 720]]","[[585, 1305]]","[[885, 1440]]","[[0, 120], [465, 1080]]"
Cedar Creek Pub,"[[720, 885]]","[[765, 1440]]","[[0, 135], [585, 1380]]","[[810, 1035]]","[[585, 1380]]","[[375, 600]]","[[495, 555]]"
Rio Grande - Denver,"[[375, 645], [0, 105]]","[[450, 630]]","[[420, 750]]","[[810, 1440]]","[[0, 105], [300, 1425]]","[[1035, 1440]]","[[810, 1440], [0, 750]]"
Corridor 44,"[[810, 1140], [0, 225]]","[[405, 1440]]","[[0, 120], [1050, 1440]]","[[0, 135], [705, 1335]]","[[660, 1245]]","[[405, 1440]]","[[0, 120], [795, 1440]]"
15Fifty - Sheraton - Starwood,"[[360, 1230]]",[],"[[405, 900]]","[[375, 510]]","[[960, 1335]]","[[810, 1425]]","[[390, 495]]"
Coral Room Highlands,"[[1035, 1185]]","[[810, 1260]]",[],[],"[[405, 1440]]","[[0, 180], [360, 1005]]","[[930, 1320]]"
Rev,"[[330, 855], [0, 150]]","[[600, 1230]]","[[330, 855]]","[[705, 1440]]","[[0, 120], [1005, 1425]]","[[645, 1410]]","[[1065, 1440]]"
Pepi's Restaurant & Bar,"[[465, 510]]",[],"[[855, 1245]]","[[1065, 1395]]","[[705, 1320]]","[[705, 1440]]","[[0, 165], [690, 1095]]"
Simms Steakhouse,"[[390, 1275]]","[[345, 1305]]","[[705, 1440]]","[[345, 1305], [0, 180]]","[[570, 1005]]","[[645, 735]]",[]
Volta Mediterranean Restaurant,"[[720, 900]]","[[675, 735]]","[[1005, 1440]]","[[0, 60], [405, 1005]]",[],"[[585, 765]]","[[405, 1005]]"
Tajine Alami,[],"[[900, 1440]]","[[0, 135], [810, 1155]]","[[375, 1005]]","[[810, 1155]]","[[405, 1320]]","[[810, 1155]]"
The SteakHouse,"[[1035, 1395], [0, 225]]",[],"[[345, 1440]]","[[0, 135], [390, 1155]]","[[780, 1110]]","[[1005, 1140]]","[[885, 1440]]"
Elway's Vail,[],"[[870, 1080]]","[[360, 705]]","[[780, 1185]]","[[510, 1440]]","[[0, 150], [795, 1440]]","[[780, 1185], [0, 75]]"
Spruce Farm & Fish,"[[765, 1440]]","[[0, 225], [915, 1440]]","[[765, 1440], [0, 210]]","[[0, 225], [930, 1440]]","[[0, 225], [660, 930]]","[[420, 915]]",[]
Black Hat Cattle Co.,"[[0, 150]]","[[930, 1440]]","[[0, 210], [450, 1440]]","[[0, 60], [510, 750]]","[[915, 1380]]",[],"[[705, 1440]]"
Bistro Barbes,"[[1020, 1080]]","[[795, 1155]]","[[540, 1200]]",[],"[[750, 1440]]","[[0, 210]]","[[645, 1110]]"
Cosmopolitan - Telluride,"[[615, 1425], [0, 120]]",[],"[[1020, 1440]]","[[0, 120], [720, 1440]]","[[0, 105], [525, 1050]]","[[480, 1440]]","[[1020, 1440], [0, 165]]"
Soko Sushi & Sake bar,"[[1065, 1380]]","[[525, 600]]","[[330, 1440]]","[[0, 195]]","[[750, 885]]","[[750, 870]]","[[525, 600]]"
Grappa Italian Bistro,"[[0, 180]]","[[960, 1365]]","[[660, 1125]]","[[885, 1065]]","[[930, 1095]]","[[780, 1305]]","[[915, 1440]]"
Comida - Denver,[],"[[570, 1440]]","[[0, 225], [675, 855]]","[[495, 765]]",[],"[[735, 1155]]","[[345, 945]]"
Hooked,"[[0, 150]]","[[585, 720]]","[[630, 1440]]","[[0, 210], [435, 1410]]","[[750, 885]]","[[1005, 1440]]","[[0, 225], [945, 1440]]"
Palmyra at The Peaks,"[[915, 1005], [0, 120]]",[],"[[630, 690]]","[[915, 1005]]","[[810, 1290]]","[[630, 690]]","[[1005, 1440]]"
Namaste India,"[[390, 1095]]","[[1020, 1290]]","[[795, 840]]","[[810, 1410]]","[[555, 660]]","[[1020, 1440]]","[[0, 765], [360, 1320]]"
La Cave Wine Bar & Boutique,"[[780, 1080]]","[[540, 1200]]","[[450, 1395]]","[[510, 1440]]","[[0, 90], [435, 1440]]","[[0, 75], [720, 1440]]","[[0, 90], [900, 1350]]"
Kevin Taylor's At The Opera House,[],[],"[[990, 1290]]","[[630, 1020]]","[[840, 1440]]","[[990, 1290], [0, 150]]","[[675, 855]]"
Cafe Terra Cotta,[],"[[555, 975]]","[[390, 750]]","[[345, 1440]]","[[390, 750], [0, 90]]","[[810, 1440]]","[[0, 180], [690, 1320]]"
Zeno Aspen,"[[735, 900]]","[[435, 735]]","[[1035, 1320]]",[],"[[345, 555]]","[[1035, 1335]]",[]
E3 Chophouse,"[[420, 1245], [0, 135]]","[[540, 930]]","[[390, 510]]","[[510, 885]]","[[420, 1245]]",[],"[[1065, 1440]]"
Lower48 Kitchen,"[[840, 960]]","[[1050, 1395]]","[[645, 1440]]","[[0, 135], [675, 1020]]",[],"[[1020, 1440]]","[[0, 180], [960, 1335]]"
Los Chingones,"[[960, 1095], [0, 735]]",[],"[[975, 1155]]","[[975, 1440]]","[[0, 735], [990, 1440]]","[[0, 735], [480, 645]]","[[975, 1440]]"
Root Down,"[[480, 1380], [0, 165]]","[[555, 1290]]","[[345, 1365]]",[],[],"[[435, 1350]]","[[930, 1440]]"
The Berkshire,[],"[[900, 1440]]","[[0, 225], [420, 915]]","[[975, 1305]]","[[615, 960]]","[[360, 720]]","[[615, 960]]"
Black Pearl Restaurant,"[[810, 1230]]",[],[],"[[870, 1020]]","[[570, 1050]]","[[660, 750]]","[[915, 1335]]"
Ken & Sue's,"[[345, 525]]","[[495, 1350]]","[[615, 1335]]","[[645, 1170]]",[],"[[660, 1125]]","[[1050, 1410]]"
The Wild Fig,[],"[[870, 1035]]","[[840, 915]]","[[330, 1395]]","[[855, 1320]]","[[555, 1440]]","[[0, 135], [900, 1080]]"
Eolus Bar & Dining,[],"[[945, 1365]]","[[330, 555]]","[[435, 750]]","[[945, 1365]]","[[540, 1005]]","[[435, 750]]"
The Dredge Restaurant,"[[915, 1440]]","[[0, 60], [315, 675]]","[[420, 1215]]","[[1050, 1305]]","[[930, 1170]]","[[900, 1365]]","[[435, 1200]]"
Indulge French Bistro by William Wahl,"[[735, 1440]]","[[0, 105]]","[[840, 1170]]","[[675, 1155]]","[[600, 1155]]","[[735, 1380]]","[[675, 1155]]"
Castle Peak Grille,"[[780, 1290]]",[],"[[345, 960]]","[[780, 1290]]","[[1020, 1305]]","[[645, 795]]","[[630, 885]]"
Hapa Sushi Grill & Sake Bar - Cherry Creek,"[[765, 1320]]","[[1050, 1290]]","[[525, 540]]","[[1050, 1290]]","[[615, 1065]]","[[855, 915]]","[[705, 1275]]"
Bones,"[[450, 1395], [0, 180]]","[[870, 1440]]","[[0, 765], [555, 1440]]","[[0, 180], [600, 1350]]","[[675, 1185]]","[[600, 1350]]","[[555, 1440]]"
Jay's Bistro,"[[0, 225]]","[[405, 660]]","[[1020, 1440]]","[[0, 75], [900, 1440]]","[[0, 225], [345, 1425]]","[[345, 555]]","[[900, 1440]]"
Table Mountain Grill and Cantina,"[[1035, 1305]]",[],[],"[[405, 915]]","[[930, 1440]]","[[0, 180], [495, 1005]]",[]
Pikkas,"[[540, 1125]]","[[735, 1365]]","[[615, 735]]","[[675, 840]]","[[615, 735]]","[[360, 1350]]","[[615, 735]]"
Lime an American Cantina,"[[660, 720]]","[[555, 1320]]",[],"[[480, 1005]]","[[660, 720]]","[[435, 780]]","[[990, 1050]]"
Town,"[[420, 1020]]","[[915, 1245]]","[[420, 1020]]","[[780, 1440]]","[[0, 210], [915, 1365]]","[[315, 1005]]","[[810, 1125]]"
8100 Mountainside Bar & Grill,[],[],[],"[[690, 930]]","[[645, 1320]]","[[975, 1440]]","[[0, 105], [645, 1275]]"
The Exchange Tavern,"[[780, 885], [0, 225]]","[[540, 1020]]","[[555, 1005]]","[[555, 1425]]","[[780, 885]]","[[615, 1080]]","[[735, 1440]]"
J. Alexander's - Denver,"[[885, 1170], [0, 735]]","[[720, 1410]]","[[660, 1440]]","[[720, 1410], [0, 105]]","[[960, 1320]]","[[900, 1440]]","[[0, 135], [840, 1440]]"
Frasca Food and Wine,"[[810, 840]]","[[900, 960]]","[[675, 885]]","[[330, 1155]]","[[405, 1260]]","[[780, 1440]]","[[0, 150], [420, 1095]]"
MacKenzie's Chop House,"[[915, 1440]]","[[0, 765], [435, 735]]","[[555, 765]]","[[435, 735]]",[],"[[360, 1440]]","[[0, 210], [330, 1080]]"
Trinity Grille,"[[930, 1260]]","[[900, 1380]]","[[1065, 1275]]","[[465, 735]]","[[405, 675]]","[[675, 900]]","[[930, 1080]]"
Argyll Whisky Beer,"[[990, 1380]]","[[750, 1440]]","[[990, 1380], [0, 75]]","[[840, 1080]]","[[795, 1035]]","[[660, 795]]","[[795, 1035]]"
Acorn,"[[315, 1440]]","[[0, 195], [615, 1260]]","[[540, 1020]]","[[780, 1140]]","[[930, 1395]]","[[855, 945]]","[[855, 1110]]"
Tabernash Tavern,[],"[[345, 1020]]","[[1050, 1440]]","[[0, 120], [1035, 1380]]","[[765, 1440]]","[[345, 1020], [0, 75]]","[[735, 855]]"
bb's,"[[765, 1440]]","[[0, 150]]","[[345, 855]]","[[510, 1290]]","[[525, 945]]","[[450, 570]]","[[840, 1245]]"
La Biblioteca,"[[945, 1215]]","[[585, 1320]]",[],"[[705, 1440]]","[[0, 210], [570, 1425]]","[[945, 1215]]","[[1035, 1290]]"
Sonterra Grill,[],"[[555, 1440]]","[[0, 165], [555, 1350]]","[[1020, 1440]]","[[0, 225]]","[[300, 1365]]","[[315, 1080]]"
Jax Fish House - Glendale,"[[690, 1155]]","[[345, 735]]",[],"[[750, 1065]]","[[660, 795]]","[[345, 735]]","[[585, 1245]]"
Ludwig's,"[[0, 60]]","[[375, 825]]","[[750, 1320]]","[[615, 1425]]","[[375, 825]]","[[750, 1320]]","[[810, 1440]]"
Ore House - Durango,"[[1035, 1380]]","[[930, 1290]]",[],"[[975, 1095]]","[[690, 855]]","[[315, 480]]","[[900, 1200]]"
Stoic & Genuine,[],"[[525, 855]]","[[660, 765]]","[[720, 855]]","[[1050, 1275]]","[[1065, 1440]]","[[0, 165], [1065, 1080]]"
Lucky Strike Lanes - Belmar,[],"[[690, 1050]]","[[630, 1365]]","[[810, 1365]]","[[690, 1125]]","[[435, 1410]]","[[690, 1125]]"
100% Mexicano Restaurant,"[[945, 1020]]","[[690, 1440]]","[[945, 1020], [0, 180]]","[[600, 1410]]","[[420, 585]]","[[765, 795]]","[[840, 1140]]"
Luke's A Steak Place,"[[960, 1170], [0, 135]]","[[930, 1440]]","[[0, 135], [930, 1290]]","[[930, 1440]]","[[0, 135], [585, 1260]]","[[765, 1275]]","[[930, 1440]]"
Ocean Prime - Denver,[],"[[405, 870]]","[[915, 1140]]","[[360, 960]]","[[405, 870]]","[[1050, 1440]]","[[0, 90], [390, 990]]"
Steak House No. 316,"[[780, 1410]]","[[825, 1155]]",[],"[[870, 1260]]","[[480, 795]]","[[750, 1050]]","[[615, 750]]"
Prospect,"[[555, 945], [0, 750]]",[],"[[465, 570]]","[[855, 1440]]","[[0, 195], [1020, 1395]]","[[660, 1440]]","[[0, 180], [915, 1440]]"
Swiss Chalet,"[[330, 1425]]","[[435, 1440]]","[[0, 195], [1035, 1410]]","[[840, 1095]]","[[1035, 1410]]","[[870, 1305]]","[[1050, 1320]]"
100% de Agave,"[[330, 1080], [0, 750]]","[[600, 735]]","[[825, 1005]]","[[435, 1440]]","[[0, 225], [810, 1440]]","[[0, 765], [420, 705]]","[[795, 1440]]"
Matsuhisa - Vail,[],"[[840, 1005]]","[[690, 975]]","[[600, 750]]","[[840, 1005]]","[[600, 1185]]","[[885, 1230]]"
Jimmy's Urban Bar & Grill,[],[],"[[555, 1440]]","[[0, 135], [870, 1245]]","[[555, 1440]]","[[0, 135], [930, 1245]]","[[600, 1200]]"
Allegria,"[[1035, 1275]]",[],"[[795, 1350]]","[[1050, 1215]]","[[930, 1440]]","[[0, 735], [660, 780]]","[[525, 795]]"
Beaver Creek Chophouse,"[[870, 1245]]",[],"[[645, 1440]]","[[0, 75]]","[[450, 1440]]","[[0, 165], [450, 915]]","[[480, 1155]]"
Wazee Supper Club,"[[915, 1440], [0, 165]]","[[0, 60], [420, 1035]]","[[990, 1200]]","[[330, 555]]","[[990, 1200]]","[[705, 870]]","[[795, 1440]]"
Toscanini,"[[465, 660]]","[[750, 1215]]","[[705, 1245]]","[[465, 660]]","[[585, 1380]]","[[510, 900]]","[[645, 810]]"
Rice Bistro and Sushi,[],"[[960, 1440]]","[[0, 750]]","[[1065, 1425]]","[[735, 1155]]","[[615, 1410]]","[[315, 1155]]"
Epernay,[],"[[945, 1065]]","[[480, 1095]]","[[945, 1065]]","[[360, 630]]","[[360, 990]]","[[990, 1425]]"
Up The Creek,"[[975, 1245]]","[[960, 1380]]","[[975, 1245]]","[[960, 1380]]","[[825, 1440]]","[[975, 1245], [0, 90]]","[[375, 735]]"
Tiller's Kitchen & Bar,"[[315, 1440], [0, 120]]","[[0, 180], [675, 825]]","[[360, 1230]]","[[465, 1440]]","[[315, 1440], [0, 120]]","[[0, 180], [435, 1290]]","[[465, 1440]]"
Montauk Seafood Grill,"[[1035, 1440], [0, 750]]","[[0, 120]]","[[810, 915]]",[],"[[465, 1320]]","[[1035, 1440]]","[[0, 120], [1005, 1440]]"
Hazie's,"[[780, 1305]]","[[825, 960]]","[[615, 765]]","[[495, 1050]]","[[720, 1050]]","[[570, 765]]","[[720, 1050]]"
Summit - The Broadmoor,"[[840, 1200], [0, 120]]",[],"[[810, 960]]","[[765, 1020]]","[[600, 1440]]","[[0, 180], [945, 1245]]","[[1020, 1440]]"
Beast and Bottle,"[[705, 990], [0, 135]]",[],"[[1035, 1440]]","[[0, 135], [480, 1410]]","[[1035, 1440]]","[[0, 135], [375, 705]]","[[1035, 1440]]"
Parma Trattoria Mozzarella Bar,[],"[[975, 1020]]",[],"[[555, 1425]]","[[780, 945]]",[],"[[435, 1185]]"
Wine Experience Cafe and World Cellar,"[[0, 75]]","[[675, 1410]]","[[1050, 1170]]","[[480, 1440]]","[[0, 75], [750, 1035]]","[[450, 1275]]","[[480, 1440]]"
Ristorante Lo Stella,"[[780, 1305], [0, 150]]","[[1065, 1440]]","[[780, 1305], [0, 150]]","[[1065, 1440]]","[[0, 120], [570, 945]]","[[960, 1350]]","[[1065, 1440]]"
Hoffbrau Colorado,[],"[[645, 1125]]","[[405, 600]]","[[705, 1185]]","[[465, 1410]]","[[795, 915]]","[[780, 1065]]"
The Squeaky Bean,"[[465, 990]]","[[420, 975]]",[],"[[1035, 1440]]","[[0, 165], [825, 1440]]","[[0, 135], [870, 1260]]","[[585, 600]]"
